FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
2472	NA20292	-0.02323325	-0.002825322	0.02150001	-0.001336738	-0.007119033	0.001386656	-1.590923e-05	-0.0009364501	0.008937072	-0.002018314
2492	NA20350	-0.02609539	-0.002255172	0.02505045	-0.003197944	-0.0107048	0.006881554	0.001445504	-0.006648932	0.009566605	-0.008000744
2467	NA20279	-0.01457988	-0.01206983	0.02226106	-0.0008374684	-0.01524261	-0.002102383	0.02472863	-0.02022217	0.00759349	-0.0210633
2470	NA20288	-0.02965366	0.001065418	0.02625069	0.006184161	-0.003669051	2.190151e-05	0.008401121	-0.01039608	0.005238191	0.005795122
2469	NA20284	-0.02224556	-0.005314865	0.02734521	-0.002764674	-0.01326833	0.00579252	0.02883753	-0.007421538	0.006688202	-0.02252454
2371	NA19712	-0.03189716	0.002729249	0.02223357	0.003983709	-0.004712694	0.001715765	0.007955319	-0.004005855	-0.003646526	0.0001129404
2481	NA20322	-0.02568594	-0.004265766	0.02584149	0.002211735	-0.008930265	0.007880729	-0.007935342	-0.0048045	-0.01429369	0.0009564657
2368	NA19704	-0.02962539	0.0009209002	0.02540662	0.005766473	-0.006853362	0.01430931	-0.003047283	-0.0007694788	-0.01075846	0.0007584717
2437	NA19714	-0.01793336	-0.009019401	0.02745581	-0.004420527	-0.01426778	-0.009352495	0.003174848	0.006335861	-0.01716683	-0.01894425
2367	NA19701	-0.02954663	0.0008310067	0.03044254	0.004443479	-0.002463351	0.001616915	0.00352539	0.007322601	-0.005433147	-0.01609732
2494	NA20358	-0.03183933	0.001776081	0.02932833	0.008677618	-0.006472804	-0.01653366	0.0009096855	0.003591987	-0.005795138	-0.01196479
2496	NA20363	-0.02300087	-0.003576821	0.0229281	0.004264345	-0.01231047	0.01109184	-0.02036913	0.01575729	-0.01722768	-0.01577286
2495	NA20360	-0.02560004	-0.00301953	0.02513314	0.0007974396	-0.01451105	0.01121196	-0.002941592	0.01447981	-0.008698447	-0.007848203
2433	NA20129	-0.0239229	-0.0005264443	0.02454846	-0.002375777	0.003925802	0.005104905	0.00181937	-0.005603851	0.006636549	0.007928187
2368	NA19705	-0.0318379	0.0009288507	0.02725482	0.0048613	-0.009748287	0.02831022	0.004940172	0.003770447	-0.01054133	0.002754275
2424	NA19836	-0.0277235	-0.0005760982	0.02669546	0.001280052	-0.01507047	0.005091556	0.01004531	0.009614212	-0.01320775	0.002000166
2480	NA20319	-0.02109269	-0.005076338	0.02993101	-0.0009790866	-0.002796305	-0.0009518421	-0.01215538	0.006425921	-0.001771815	-0.004079561
2489	NA20345	-0.02719204	-0.001843526	0.02449707	0.0004334436	-0.01271813	0.01742468	0.00522878	-0.01490949	0.004088498	-0.001644464
2477	NA20302	-0.0264266	-0.001946861	0.03168302	0.001093295	-0.01227612	0.004473024	0.02477116	-0.01237176	0.007781143	-0.0163127
2371	NA19711	-0.03139848	0.001529734	0.02446252	0.002923938	-0.009999388	0.01872681	-0.005910363	-0.00630461	0.00131166	-0.007751629
2490	NA20347	-0.02482257	-0.00282317	0.02777209	3.362525e-05	-0.01444977	0.00155113	-0.002420166	-0.004098664	-0.004438184	-0.005709824
2367	NA19702	-0.03002702	0.001298484	0.02743011	0.005149991	-0.006380628	0.003665744	0.003504549	0.01961062	-0.01603412	-0.01446385
2446	NA20126	-0.02200474	-0.005472455	0.02491763	0.003722721	-0.01591041	-3.152802e-05	0.00560212	0.009537229	0.01211782	-0.002258655
2496	NA20364	-0.02349415	-0.003100678	0.0242908	0.003660924	-0.009683339	0.008976161	-0.01348637	0.004611632	-0.0149491	-0.006742917
2485	NA20336	-0.01491102	-0.01202429	0.02208108	0.003382566	-0.01205994	-0.005237916	0.007635104	0.02896847	-0.02593241	-0.0244436
2430	NA19915	-0.02973475	-0.0004669897	0.02468889	0.005498505	-0.009671392	0.001468479	0.001057624	-0.004839298	0.01868809	-0.01417101
